;;;;;
;TYPE DE TRAVAUX;REGION;VILLE - CODE POSTAL;ENTREPRISE;COORDONNEES
ETUDES ENERGETIQUES;Audit énergétique Logement collectif;Champagne;REIMS - 51100;ADX GROUPE;contact@adx-groupe.com
ETUDES ENERGETIQUES;Audit énergétique Maison individuelle;Champagne;REIMS - 51100;COMAL-SOLIHA REIMS;http://www.comalsoliha51.fr
ETUDES ENERGETIQUES;Commissionnement;Champagne;REIMS - 51100;;
ETUDES ENERGETIQUES;Etude ACV;Champagne;REIMS - 51100;OWEGA;03 26 88 01 87
ETUDES ENERGETIQUES;Etude bois énergie;Champagne;REIMS - 51100;ENERCOOP Nord Est;03 10 93 06 62
ETUDES ENERGETIQUES;Etude éclairage;Champagne;REIMS - 51100;;
ETUDES ENERGETIQUES;Etude enveloppe du bâtiment;Champagne;REIMS - 51100;;
ETUDES ENERGETIQUES;Etude forage géothermique;Champagne;REIMS - 51100;FONDASOL - AGENCE REIMS;03 26 82 13 00
ETUDES ENERGETIQUES;Etude photovoltaïque;Champagne;REIMS - 51100;ENERCOOP Nord Est;03 10 93 06 62
ETUDES ENERGETIQUES;Etude solaire thermique;Champagne;REIMS - 51100;;
ETUDES ENERGETIQUES;Etude système technique bâtiment;Champagne;REIMS - 51100;OAK INGENIERIE;03 26 87 08 58
ETUDES ENERGETIQUES;Etude thermique réglementaire;Champagne;REIMS - 51100;RTI;09 80 59 58 40
INSTALLATIONS D'ENERGIES RENOUVELABLES;Chaudière bois;Champagne;REIMS - 51100;ECO ENERGIES SERVICES;06 29 40 36 29
INSTALLATIONS D'ENERGIES RENOUVELABLES;Chauffage et/ou eau chaude solaire;Champagne;REIMS - 51100;STEVENIN PLOMBERIE / CHAUFFAGE;03 26 97 44 98
INSTALLATIONS D'ENERGIES RENOUVELABLES;Chauffe-eau Thermodynamique;Champagne;REIMS - 51100;CONFORT SECURITE PLUS;03 26 97 87 35
INSTALLATIONS D'ENERGIES RENOUVELABLES;Forage géothermique;Champagne;REIMS - 51100;BONIFACE SARL;03 26 97 11 61
INSTALLATIONS D'ENERGIES RENOUVELABLES;Panneaux solaires photovoltaïques;Champagne;REIMS - 51100;HYDROPTIM;06 84 05 22 27
INSTALLATIONS D'ENERGIES RENOUVELABLES;Pompe à chaleur : chauffage;Champagne;REIMS - 51100;CONFORT SECURITE PLUS;03 26 97 87 35
INSTALLATIONS D'ENERGIES RENOUVELABLES;Poêle ou insert bois;Champagne;REIMS - 51100;PALYS;06 27 51 11 06
RENOVATION GLOBALE;Architecte;Champagne;REIMS - 51100;SESAM ARCHITECTURE;07 66 10 74 20
RENOVATION GLOBALE;Projet compelt de rénovation;Champagne;REIMS - 51100;ALNA RENOV 51;03 66 88 36 90
TRAVAUX D'EFFICACITE ENERGETIQUE;Chaudière condensation ou micro-cogénération gaz ou fioul;Champagne;REIMS - 51100;EM ENERGIE;06 66 63 14 94
TRAVAUX D'EFFICACITE ENERGETIQUE;Fenêtres de toit;Champagne;REIMS - 51100;CONFORT SECURITE PLUS;03 26 97 87 35
TRAVAUX D'EFFICACITE ENERGETIQUE;Fenêtres, volets, portes donnant sur l'extérieur;Champagne;REIMS - 51100;MENUISERIE BRESSAN;06 66 24 30 87
TRAVAUX D'EFFICACITE ENERGETIQUE;Isolation des combles perdus;Champagne;REIMS - 51100;ISO BAT 51;07 81 84 23 54
TRAVAUX D'EFFICACITE ENERGETIQUE;Isolation des murs par l'extérieur;Champagne;REIMS - 51100;ISO BAT 51;07 81 84 23 54
TRAVAUX D'EFFICACITE ENERGETIQUE;Isolation des planchers bas;Champagne;REIMS - 51100;TOURRET MULTISERVICE;06 83 12 83 51
TRAVAUX D'EFFICACITE ENERGETIQUE;Isolation des toitures terrasses ou des toitures par l'extérieur;Champagne;REIMS - 51100;SOPREMA - AGENCE DE REIMS;03 26 87 92 92
TRAVAUX D'EFFICACITE ENERGETIQUE;Isolation par l'intérieur des murs ou rampants de toitures ou plafonds;Champagne;REIMS - 51100;ECLAIRENOV;06 22 59 07 69
TRAVAUX D'EFFICACITE ENERGETIQUE;Radiateurs électriques, dont régulation;Champagne;REIMS - 51100;CLAIR'EQUEAUX;06 11 16 81 56
TRAVAUX D'EFFICACITE ENERGETIQUE;Ventilation mécanique;Champagne;REIMS - 51100;JCTELECT;06 75 87 06 78
